gene	T0_NI_CD16neg	T0_NI_CD16pos	T2_IAV_CD16neg	T2_IAV_CD16pos	T2_NI_CD16neg	T2_NI_CD16pos	T4_IAV_CD16neg	T4_IAV_CD16pos	T4_NI_CD16neg	T4_NI_CD16pos	T6_IAV_CD16neg	T6_IAV_CD16pos	T6_NI_CD16neg	T6_NI_CD16pos	T8_IAV_CD16neg	T8_IAV_CD16pos	T8_NI_CD16neg	T8_NI_CD16pos	ni_CD16neg_CD16pos_logFC	ni_CD16neg_CD16pos_AUC	ni_CD16neg_CD16pos_pval	ni_CD16neg_CD16pos_fdr	iav_CD16neg_CD16pos_logFC	iav_CD16neg_CD16pos_AUC	iav_CD16neg_CD16pos_pval	iav_CD16neg_CD16pos_fdr	IAV	NI	ens	t0_CD16neg_CD16pos_logFC	t0_CD16neg_CD16pos_AUC	t0_CD16neg_CD16pos_pval	t0_CD16neg_CD16pos_fdr
MED13L	0.853833620814962	0.924064364179103	1.13829401824633	0.991178491529684	1.09449188139373	0.945059976858343	0.779743894441747	0.798993382066031	0.84726723323546	0.757085848232163	0.475179519960318	0.46264606512006	0.63522933543962	0.524193352071693	0.40828858021976	0.413956877125495	0.625956321256862	0.51947761604295	0.0941344353029103	0.534764328646289	1.74942347502717e-13	5.46936820847168e-13	0.0520995225980005	0.528021528414782	4.85270806739985e-06	1.50313542445484e-05	nonsig	nonsig	ENSG00000123066	-0.0693054870919377	0.472494803451429	0.0315369278918002	0.0502195873400129
C12orf49	0.0758259428424329	0.101701257954299	0.202819033587174	0.168069029919092	0.211085947040043	0.158415593291445	0.138808856536989	0.0930005037232102	0.243041992556701	0.156848382870444	0.0805147988703209	0.0463573215007024	0.214079308921511	0.147496773635241	0.0842462202192018	0.0774122375642695	0.166054371124279	0.131048395037508	0.0585174250566981	0.522204972202738	1.28744821980513e-05	2.60302148546665e-05	0.0361183425240685	0.509557863267555	0.205040188953821	0.273415108260118	nonsig	nonsig	ENSG00000111412	-0.0252203289693019	0.481035348533863	0.0013345323428495	0.00277056333635226
TESC	0.234936483522286	0.463017578913697	0.131024315632047	0.274290428400485	0.119313166860058	0.272119295786636	0.0767351382969663	0.17419992978491	0.0606256230570627	0.181168864203797	0.0462343884095849	0.116875654647992	0.0225221329894826	0.164597285129536	0.0193023851945768	0.0538216145886096	0.0198250733850847	0.122172679043636	-0.129331588429413	0.438553855163699	3.31531667701715e-44	2.1338872808427e-43	-0.105891045884112	0.448279523500182	1.12870003219688e-15	6.76967795847249e-15	nonsig	nonsig	ENSG00000088992	-0.234545078219103	0.388754848944986	1.11577983717719e-31	1.50490104672543e-30
PEBP1	0.221803133337849	0.185670106284234	0.138136760375185	0.143500975478046	0.127402822508469	0.134133314920049	0.085802407505904	0.131945916439576	0.0828533721926363	0.0981839323050475	0.0769872194367701	0.098124908309872	0.0693397432327329	0.0722042851890561	0.0757589632245474	0.0611589505208227	0.085155250765607	0.0689761393866924	-0.0011046688197569	0.498619188978216	0.851263194921237	0.880289121621499	-0.0166515119953635	0.491796065509253	0.325737164331562	0.403265013406786	nonsig	nonsig	ENSG00000089220	0.0335342191040928	0.513728090971109	0.135657528461488	0.188557641838753
TAOK3	0.82102059228197	1.1946331239158	0.710003531405055	1.36719215786213	0.716866290247233	1.30288707305901	0.53304451572548	1.17324091436599	0.816074790836754	1.37214347202003	0.459779098539553	0.822601604207051	1.04770798151314	1.45315624292363	0.529476863227496	0.99975903360172	1.12388156402494	1.46086911902559	-0.475625415868096	0.336827422761189	6.35236576568006e-259	2.33558215275152e-257	-0.574602913504544	0.308967402430655	1.82456026664628e-131	1.03097258014286e-129	nonclassical	nonclassical	ENSG00000135090	-0.378243998477777	0.356758313977565	1.70277599654694e-31	2.285125387366e-30
RPLP0	1.44654171393358	1.1930459753743	1.39474526739257	1.09516720287039	1.4418264974483	1.13818273710558	1.54555907535528	1.18176131496717	1.41493734887548	1.07733629013096	1.59448551423878	1.20832733485512	1.53468130800685	1.30112171499963	1.16187811154599	0.704977208817189	1.40358660244175	1.22704040199793	0.272561181974239	0.603183792046968	2.02951701633538e-101	2.40495526350738e-100	0.315986128495251	0.604133348081613	4.01683974507811e-36	4.68747733729986e-35	classical	classical	ENSG00000089157	0.242349182973383	0.596632796573379	9.83257258957726e-15	6.01838650636838e-14
PXN	0.244432059313896	0.0705597429468096	0.197945132769561	0.0558477127920475	0.191947296418083	0.0509759705759225	0.10647201262105	0.0360314597665585	0.124564804455402	0.0408664722917545	0.0465840642243828	0.0102745572066994	0.0719387106062108	0.0278798742499109	0.0191827249383481	0.00402850738600097	0.0538163932856235	0.0209040993924975	0.0854150745938948	0.541223281785157	1.99907643939351e-18	7.40582631239776e-18	0.0878127054092913	0.545143945454179	1.65953727308347e-10	7.41131121623302e-10	nonsig	nonsig	ENSG00000089159	0.176665462023469	0.587415049684806	3.12517869958917e-21	2.74565617993366e-20
GATC	0.103631653179946	0.130562584349299	0.114665307889361	0.123470894650348	0.120599131670523	0.132046024281609	0.0658863169522205	0.0660619006101108	0.135870108213545	0.128991462081808	0.0552346315165307	0.0783071730729456	0.151990028197306	0.139479819467451	0.0603718518209839	0.0792189594240169	0.145253893546568	0.133055179343096	0.0053330371172491	0.499380652052911	0.82787853150006	0.860456134939236	-0.00931668066241806	0.496772846134902	0.562629593788741	0.633031997371194	nonsig	nonsig	ENSG00000257218	-0.0229901692765337	0.483240005521645	0.0134292953203993	0.0232843854263255
DYNLL1	0.314689398770643	0.394553298792609	0.591061838115351	0.805616316101535	0.638499049219797	0.875683877488531	0.829583807009173	0.82212545517261	1.20505478015981	1.29263026583658	1.02795747179651	0.993074094886311	1.52540450458137	1.60684130753636	1.25534029395156	1.272661796697	1.55824660191974	1.58595873049045	-0.109027328163376	0.468063186103728	3.74643351924196e-12	1.10987059223459e-11	-0.0567952638141915	0.469232419245528	2.02439711933611e-05	5.90595855249794e-05	nonsig	nonsig	ENSG00000088986	-0.0883109761407527	0.453518148408226	1.03674697436388e-06	3.3047848921528e-06
MLEC	0.165531761079639	0.158323327112507	0.12329633820113	0.144196582603883	0.12297998210557	0.156567437144042	0.129795487546043	0.133064170565499	0.146990160966675	0.148742356282163	0.154673127714869	0.200095382854408	0.196075917919449	0.225504728529128	0.161178787769126	0.197257704697234	0.167872028451323	0.211369399281166	-0.0241316667155951	0.486837225116777	0.00827440369416829	0.0125578170851839	-0.0210757578605237	0.489611934862306	0.156123689875458	0.217568008113047	nonsig	nonsig	ENSG00000110917	0.00724581417264856	0.498696611590254	0.89247696525394	0.921133695343809
