T0_T0_CD16neg	T0_T0_CD16pos	T2_bystander_CD16neg	T2_bystander_CD16pos	T2_infected_CD16neg	T2_infected_CD16pos	T2_unexposed_CD16neg	T2_unexposed_CD16pos	T4_bystander_CD16neg	T4_bystander_CD16pos	T4_infected_CD16neg	T4_infected_CD16pos	T4_unexposed_CD16neg	T4_unexposed_CD16pos	T6_bystander_CD16neg	T6_bystander_CD16pos	T6_infected_CD16neg	T6_infected_CD16pos	T6_unexposed_CD16neg	T6_unexposed_CD16pos	T8_bystander_CD16neg	T8_bystander_CD16pos	T8_infected_CD16neg	T8_infected_CD16pos	T8_unexposed_CD16neg	T8_unexposed_CD16pos	module_pre_reordering	bystander	infected
MT2A	0.510847229979419	0.849331443562777	0.298794381089628	1.00741105832341	0.221898789009156	1.15090024130435	0.0501110077728287	0.887876347611802	2.0949839239052	3.42771834056017	1.38501660635459	3.24272473659142	0.192395335058156	0.524162687380401	3.44220515727373	4.74894346639181	2.68118723723324	4.51282000678417	0.291965104696683	0.595172728040043	4.23528293658362	4.77992375397674	3.61637564976177	5.07864232652491	0.342684736471387	0.630923620614701	5	TRUE	TRUE
PSMB9	0.35974729867315	0.70818399255098	0.143462567816742	0.521728853689027	0.105124070680306	0.612891442659783	0.0718444345081931	0.378815165154894	0.866024079444077	1.32630857352088	0.808309363902053	1.30563727190727	0.0807944013628199	0.450469960693676	1.45305469952247	2.19852384649518	1.12245171557576	1.98000361426713	0.151982867155357	0.62556666580198	1.68123694990485	2.50480024725856	1.28458671510636	2.21100016915782	0.190165962842717	0.587226150771141	5	FALSE	TRUE
APOBEC3G	0.0368896261524562	0.104952441817142	0.0585373436107261	0.186147365493841	0.0361440878141871	0.157438542128325	0.0488881517435723	0.099470657571542	0.472233403830387	1.01904605086831	0.32840622938908	0.845716317524775	0.0187475278659479	0.132425783706245	1.19803415198764	1.59922302563158	0.632190091223626	1.31207099814302	0.0142846678304844	0.181555197748463	1.12953241872357	1.42143268010208	0.901446089597679	1.58337697341878	0.029714540240189	0.135856134989047	5	TRUE	TRUE
GNB4	0.311005041418659	0.43820597345754	0.356374316281934	0.655724196342736	0.294573501757001	0.837714711510846	0.300070340201052	0.72006339538885	1.4224047925921	1.79889727669706	0.775696215401816	1.28729968522412	0.333589363398422	0.498110964013984	1.82215672926824	1.90626774086206	0.995416933666097	1.72192031482374	0.362225914115232	0.566036017469954	1.54030996897535	1.72334303457642	1.08197367872855	1.60533551001274	0.430657946727522	0.665465777177505	5	FALSE	TRUE
CBR1	0.070539777478885	0.0954494687955969	0.0269531513498234	0.123816269189159	0.0433291023321463	0.0519426682270666	0.0182860652515203	0.0531493314144107	0.594724176094983	0.977391622480996	0.214063075811346	0.564346276755513	0.0729437506824664	0.117718488190932	1.00932648410103	1.28283759271341	0.519752466143822	1.01559681184694	0.173985818201877	0.245814022022585	1.23859068322381	1.45103370107706	0.566496895994023	1.04951963534867	0.167069215962865	0.182230043190627	5	FALSE	TRUE
IGSF6	1.03517769863859	0.834088067461944	1.25097985819261	1.1955343708158	1.13457708190444	1.39910973396789	1.38894073600451	1.11021398765607	2.06929473094026	2.1356830921139	1.5960048149176	2.02686796586125	1.5346811459324	1.1241123135998	2.34258077239279	2.69011473790039	2.17106736381827	2.57152830605865	1.52732088306405	1.53888930289109	2.62996010807743	2.80453447256641	2.3423548257292	3.05855086447349	1.59333502464938	1.38819835603797	5	FALSE	TRUE
CFLAR	1.25999478286912	1.28818628742558	1.23420331954764	1.15196868145888	1.59784339147765	1.4263620268729	1.50012045516993	1.32371013482128	2.32150746916864	2.57495677688641	2.22080018371676	3.10460146524491	1.17368170052867	1.17403528174675	2.54789962440081	2.6099868647364	2.56663523658699	3.12819589122849	1.60579872754057	1.29224500891442	2.6411469780897	2.41636160745969	2.68578250523205	2.83566886426301	1.49908264630948	1.29697861604723	5	FALSE	TRUE
SNX10	0.655275664326707	0.70087918172105	0.571952986053855	0.900348696286187	0.831211585718525	1.04751835710368	0.645612137198989	0.934130741499659	1.39526194265575	1.72037573144051	1.04242681576012	1.56789097877746	0.56732169711168	0.401131578255517	2.26421485995162	2.57240483188075	1.53408713289331	2.22848182795365	0.566526866605184	0.442474129479494	2.50415644070927	2.78477266331309	1.79605505197928	2.25781198419537	0.454353054389023	0.479963795679547	5	FALSE	TRUE
SLAMF7	0.20359554262539	0.428994070389436	0.880015618288072	1.43027376682656	0.960974962489976	1.6345567073073	0.705589742363584	1.02494481325917	2.52493226997596	2.84768315762858	1.566179594813	2.38969952983597	1.09957764291167	1.47112348282611	3.34315721749763	3.56026186008819	2.51410609205751	3.24363044981297	1.23746337566248	0.842917854627754	3.68586712228715	3.28083865300149	2.89705028518553	3.35770071884743	1.06055462125113	0.813170682059677	5	FALSE	TRUE
IDO1	0	0	0.0264494434699014	0.0122461413350648	0.0257753192099412	0	0	0	1.03114350454384	1.25414577545407	0.822185387142526	0.867562727717468	0.0473262384047834	0.0193983896056247	2.5312182513138	1.61087955001143	1.79282065506509	1.99243748084166	0.0213749639500317	0.030174965616642	2.88096555254224	1.30698879876841	2.33514365118032	1.61632706628608	0.031577264925781	0.0185390863818881	5	TRUE	FALSE
